Time,ParticipantID,DatasetID,TechniqueID,RepetitionID,mapPosx,mapPosy,mapPosz,mapRotaionx,mapRotationy,mapRotationz,markerHandPosx,markerHandPosy,markerHandPosz,reletivePosx,reletivePosy,reletivePosz,Lable
0.493103,16,3,3,1,0.6975493,0.9427477,0.3509094,281.8553,199.7742,126.6863,0.758288,0.8068375,0.3183939,1.216152,8.992852,-15.25095,Nothing
0.5023499,16,3,3,1,0.6975104,0.9430535,0.3511488,282.0786,195.4854,130.2471,0.754456,0.8100346,0.3171534,0.8118829,9.071678,-14.72145,Nothing
0.5098572,16,3,3,1,0.6982972,0.9433293,0.3502179,282.1783,194.5887,131.2365,0.7536899,0.8101926,0.3172694,0.7574213,8.923886,-14.71646,Nothing
0.5184021,16,3,3,1,0.6989563,0.9435189,0.3498062,282.6286,189.5333,135.6872,0.7494864,0.8141004,0.3154562,0.2998047,8.949471,-14.05884,Nothing
0.5263062,16,3,3,1,0.6989704,0.9435657,0.349797,282.6853,189.2329,135.9827,0.7493402,0.8144083,0.315328,0.2837583,8.966317,-14.01195,Nothing
0.5363464,16,3,3,1,0.6995355,0.9440857,0.3491272,283.2921,184.5051,140.1336,0.7449641,0.8189643,0.3133116,-0.1825982,8.958474,-13.32159,Nothing
0.5516968,16,3,3,1,0.699864,0.944458,0.3492472,283.8849,180.308,143.65,0.7406554,0.8246764,0.3101909,-0.7408543,9.063234,-12.45753,Nothing
0.5604858,16,3,3,1,0.6998771,0.9452677,0.34952,284.3637,176.7652,146.4604,0.7359625,0.830366,0.3070095,-1.342427,9.11395,-11.67881,Nothing
0.5689392,16,3,3,1,0.699821,0.9455265,0.3499085,284.1689,177.0314,146.0837,0.7358754,0.8306661,0.3065459,-1.410416,9.144393,-11.6827,Nothing
0.5768127,16,3,3,1,0.6993349,0.9461204,0.3515624,284.1682,174.2931,147.9195,0.7312076,0.8361432,0.3031645,-2.088732,9.231586,-10.95587,Nothing
0.5848389,16,3,3,1,0.6992431,0.9460656,0.3518153,284.0323,174.48,147.7178,0.7308455,0.8364401,0.3025141,-2.167968,9.25704,-10.91511,Nothing
0.5937195,16,3,3,1,0.6990163,0.9465321,0.3540381,283.9932,171.6227,149.4757,0.7261724,0.8421072,0.2986642,-2.979212,9.363558,-10.14689,Nothing
0.6029053,16,3,3,1,0.6992291,0.94626,0.3540282,283.735,172.041,149.2115,0.7260068,0.8422799,0.298206,-3.008101,9.323851,-10.13263,Nothing
0.6181641,16,3,3,1,0.6991801,0.9461563,0.3548776,283.5617,169.691,151.1657,0.7209511,0.8480014,0.2939686,-3.704454,9.269181,-9.370062,Nothing
0.6266174,16,3,3,1,0.6994289,0.9462544,0.3550586,283.478,167.5237,153.0474,0.7163098,0.8535786,0.2898031,-4.350682,9.168977,-8.667866,Nothing
